1,0,line,0,0,0,20,20,46.1
1,1,line,19,0,19,8,8,46.1
1,2,line,0,20,19,8,22.47,46.1
1,3,line,0,20,8,42,23.41,46.1
1,4,line,19,8,8,42,35.74,46.1
1,0,line,0,0,0,12,12,37.66
1,1,line,7,0,7,7,7,37.66
1,2,line,0,12,7,7,8.6,37.66
1,3,line,0,12,1,35,23.02,37.66
1,4,line,7,7,5,30,23.09,37.66
1,5,line,1,35,2,37,2.24,37.66
1,6,line,2,37,5,30,7.62,37.66
1,0,line,0,0,0,20,20,43.05
1,1,line,19,0,20,11,11.05,43.05
1,2,line,0,20,20,11,21.93,43.05
1,3,line,0,20,0,37,17,43.05
1,4,line,20,11,22,22,11.18,43.05
1,5,line,0,37,22,22,26.63,43.05
1,0,line,0,0,0,7,7,25
1,1,line,6,0,6,7,7,25
1,2,line,0,7,6,7,6,25
1,3,line,0,7,1,24,17.03,25
1,4,line,6,7,7,24,17.03,25
1,5,line,1,24,2,24,1,25
1,6,line,2,24,7,24,5,25
1,0,line,0,0,0,7,7,40
1,1,line,21,0,22,11,11.05,40
1,2,line,0,7,22,11,22.36,40
1,3,line,0,7,2,15,8.25,40
1,4,line,22,11,24,32,21.1,40
1,5,line,2,15,24,32,27.8,40
1,0,line,0,0,0,6,6,26
1,1,line,10,0,10,7,7,26
1,2,line,0,6,10,7,10.05,26
1,3,line,0,6,1,13,7.07,26
1,4,line,10,7,9,24,17.03,26
1,5,line,1,13,5,22,9.85,26
1,6,line,5,22,9,24,4.47,26
1,0,line,0,0,0,22,22,41.59
1,1,line,18,0,19,11,11.05,41.59
1,2,line,0,22,19,11,21.95,41.59
1,3,line,0,22,1,37,15.03,41.59
1,4,line,19,11,17,30,19.1,41.59
1,5,line,1,37,17,30,17.46,41.59
1,0,line,0,0,0,24,24,49.74
1,1,line,24,0,25,17,17.03,49.74
1,2,line,0,24,25,17,25.96,49.74
1,3,line,0,24,2,34,10.2,49.74
1,4,line,25,17,24,40,23.02,49.74
1,5,line,2,34,9,43,11.4,49.74
